"year_day","created_by_id","premise_id","apartment_id","category_id","priority","performer_id","due_date_hours","assigned_hours","completed_hours"
290,79656,9241,625098,11173,3,2442,72,0,11
290,79096,9835,614691,11173,3,8111,72,0,10
290,79656,9298,626126,11173,3,2442,72,0,46
290,88312,60704,2594457,21535,2,8111,,0,469
290,81908,9682,666191,17659,1,9754,,0,59
290,90246,61559,2617675,11173,3,8111,72,0,529
290,81908,9682,666191,17659,1,9754,,1,13
290,79096,9907,614547,11172,3,8111,72,0,23
290,90246,9679,622400,11173,3,2419,72,0,18
290,90246,9281,624465,11189,1,2434,72,0,8
290,90246,9319,627683,11169,3,2442,72,0,178
290,79656,9348,628648,11173,3,2442,72,0,21
290,90246,9868,623046,11170,3,2419,72,0,16
290,90246,9763,618193,11169,3,9724,72,0,17
290,79656,9322,627059,11173,3,2434,72,0,13
290,90246,83998,621570,11173,3,2419,72,0,19
290,90246,9883,621570,11173,3,2419,72,0,19
290,90246,9849,621298,11170,3,2419,72,0,20
290,90246,9669,624112,11170,3,2419,72,0,18
290,83490,9809,615874,17652,1,8111,,1,461
290,79656,9341,625139,11173,3,2434,72,0,16
290,79096,9785,617253,11173,3,8111,72,0,24
290,79096,9817,615643,11173,3,8111,72,0,23
290,90246,9763,,11169,3,9724,72,0,18
290,79656,72790,3345333,17908,3,7857,,248,4375
290,79656,9322,626844,11173,3,2434,72,0,16
290,79096,9785,617218,11173,3,8111,72,0,23
290,79656,72785,2993172,11172,3,7857,,0,4377
290,90246,61568,2618034,11173,3,8111,,0,332
290,79656,9327,628745,11173,3,2442,72,0,20
290,79096,9682,666240,11173,3,8111,72,0,463
290,82276,40034,1264265,17651,1,8111,,0,509
290,22000,61560,2617683,11189,1,8111,72,0,299
290,90246,9846,618880,11170,3,9724,72,0,20
290,22000,9824,615477,11159,1,8111,72,0,172
290,90246,9846,618880,11173,3,9724,72,0,20
290,90246,9880,621149,11150,3,2419,72,15,21
290,90246,9868,623024,11169,3,2419,72,0,4
290,79656,9350,627341,11173,3,2434,72,0,16
290,79656,9313,624994,11173,3,2442,72,0,19
290,90246,9868,623054,11150,3,9754,72,0,23
290,79096,9785,617200,11173,3,8111,72,0,27
290,79096,9729,620312,11173,3,2607,72,0,143
290,90246,9868,623086,11169,3,2419,72,0,4
290,79656,9313,625867,11173,3,2442,72,0,19
290,90246,9661,,11170,3,2419,72,0,77
290,79096,9684,617559,11170,3,8111,72,0,435
290,90246,9880,621201,11173,3,2419,72,0,77
290,90246,9894,622314,11173,3,2419,72,0,75
290,79656,9313,625278,11173,3,2442,72,0,21
290,79096,9785,617187,11173,3,8111,72,0,27
290,79096,9734,619970,16680,1,2607,,0,341
290,79656,9316,626247,11162,3,2436,72,0,192
290,90246,61568,3305431,11173,3,8111,72,0,214
290,81908,9682,666191,17654,1,2461,,0,3238
290,79656,9327,627840,11173,3,2442,72,0,23
290,90246,9653,623201,17751,3,2419,,0,141
290,79096,40034,1264204,11170,3,8111,72,0,509
290,90246,9763,618216,11169,3,9724,72,0,6
290,90246,61581,2617983,11173,3,8111,72,0,210
290,83490,9809,615874,17657,1,2419,,2807,2820
290,90246,9661,623766,11174,3,2419,72,0,17
290,79096,9808,615965,11174,3,2461,72,0,24
290,90246,9763,618216,11152,3,9724,,0,2673
290,79096,9831,615029,16680,1,9754,,357,382
290,79096,9907,614592,11173,3,8111,72,0,415
290,90246,83998,621520,11173,3,2419,72,0,23
290,22000,9907,614578,11173,1,8111,72,0,416
290,90246,9883,621520,11173,3,2419,72,0,23
290,79656,9225,625608,11152,3,2441,72,0,50
290,90246,9863,623628,17751,3,2419,,0,26
290,90246,9750,619161,11174,3,9684,72,2,148
290,79656,9225,625608,11174,3,2442,72,0,115
